发明人,专利名
潘志国,一种安全高效的缆机吊罐稳罐装置
胡超,一种大体积混凝土浇筑预防冷缝的施工控制方法
陈媛媛,一种大体积混凝土浇筑预防冷缝的施工控制方法
周宜红,一种混凝土高压冲毛机械及施工方法
贺俊,一种混凝土高压冲毛机械及施工方法
胡超,一种混凝土高压冲毛机械及施工方法
赵春菊,一种混凝土高压冲毛机械及施工方法
贺俊,一种组合定位缆机运行监测系统和缆机防碰调控方法
周宜红,一种组合定位缆机运行监测系统和缆机防碰调控方法
赵春菊,一种组合定位缆机运行监测系统和缆机防碰调控方法
胡超,一种组合定位缆机运行监测系统和缆机防碰调控方法
贺俊,一种大风影响下缆机吊罐摆动的风洞试验研究装置
胡超,一种大风影响下缆机吊罐摆动的风洞试验研究装置
赵春菊,一种大风影响下缆机吊罐摆动的风洞试验研究装置
周宜红,一种大风影响下缆机吊罐摆动的风洞试验研究装置
胡超,建筑保温被收铺机
贺俊,建筑保温被收铺机
周宜红,建筑保温被收铺机
王忠耀,建筑保温被收铺机
胡超,边坡开挖数字化施工与质量控制方法
周宜红,边坡开挖数字化施工与质量控制方法
潘志国,边坡开挖数字化施工与质量控制方法
贺俊,一种大风影响下缆机吊罐摆动的风洞试验研究装置及方法
胡超,一种大风影响下缆机吊罐摆动的风洞试验研究装置及方法
赵春菊,一种大风影响下缆机吊罐摆动的风洞试验研究装置及方法
周宜红,一种大风影响下缆机吊罐摆动的风洞试验研究装置及方法
刘晓娜,试管清洗装置
杨改强,试管清洗装置
霍丽娟,试管清洗装置
王婷,试管清洗装置
黎颖,一种C6H12O6水溶液淬火冷却介质及其制备方法
揭晓华,一种C6H12O6水溶液淬火冷却介质及其制备方法
张留艳,一种C6H12O6水溶液淬火冷却介质及其制备方法
麦永津,一种C6H12O6水溶液淬火冷却介质及其制备方法
张艳梅,一种C6H12O6水溶液淬火冷却介质及其制备方法
黎颖,一种钢筋表面纳米化复合涂层及其制备方法与应用
张留艳,一种钢筋表面纳米化复合涂层及其制备方法与应用
揭晓华,一种钢筋表面纳米化复合涂层及其制备方法与应用
麦永津,一种钢筋表面纳米化复合涂层及其制备方法与应用
罗松,一种中碳钢表面微纳米多尺度结构的制备方法
揭晓华,一种中碳钢表面微纳米多尺度结构的制备方法
麦永津,一种中碳钢表面微纳米多尺度结构的制备方法
张留艳,一种中碳钢表面微纳米多尺度结构的制备方法
郑琼彬,一种中碳钢表面微纳米多尺度结构的制备方法
张艳梅,一种中碳钢表面微纳米多尺度结构的制备方法
张留艳,一种耐海水冲刷腐蚀双相不锈钢的制备方法
揭晓华,一种耐海水冲刷腐蚀双相不锈钢的制备方法
郑琼彬,一种耐海水冲刷腐蚀双相不锈钢的制备方法
黄晓晔,一种耐海水冲刷腐蚀双相不锈钢的制备方法
麦永津,一种耐海水冲刷腐蚀双相不锈钢的制备方法
吴桐,一种碳钢表面处理方法
刁铮亮,一种碳钢表面处理方法
蒋俊杰,一种碳钢表面处理方法
黎颖,一种碳钢表面处理方法
张留艳,一种碳钢表面处理方法
杨春霞,一种全贯流式水轮机扭矩测量装置及方法
侯舢舢,一种全贯流式水轮机扭矩测量装置及方法
赵梦晌,一种全贯流式水轮机扭矩测量装置及方法
姚婷婷,一种全贯流式水轮机扭矩测量装置及方法
陈会向,一种全贯流式水轮机扭矩测量装置及方法
杨春霞,一种带有渐密孔的凸型导板水车增能装置
张振,一种带有渐密孔的凸型导板水车增能装置
胡岩,一种带有渐密孔的凸型导板水车增能装置
赵梦晌,一种带有渐密孔的凸型导板水车增能装置
丁艳,一种带有渐密孔的凸型导板水车增能装置
刘惠文,一种带有渐密孔的凸型导板水车增能装置
蒋玲,消声器筒体的旋转翻边装置
徐琬婷,消声器筒体的旋转翻边装置
张超,消声器筒体的旋转翻边装置
余红英,消声器筒体的旋转翻边装置
熊良林,消声器筒体的旋转翻边装置
王子阳,消声器筒体的旋转翻边装置
吴伟越,消声器筒体的旋转翻边装置
肖志玉,消声器筒体的旋转翻边装置
蒋玲,用于汽车消声器的一体式旋转操作装置
张超,用于汽车消声器的一体式旋转操作装置
贾冕茜,用于汽车消声器的一体式旋转操作装置
邓延安,用于汽车消声器的一体式旋转操作装置
熊良林,用于汽车消声器的一体式旋转操作装置
张华峰,用于汽车消声器的一体式旋转操作装置
王俊佳,用于汽车消声器的一体式旋转操作装置
何乐乐,用于汽车消声器的一体式旋转操作装置
曹秀丽,一种混凝土早龄期热膨胀系数多尺度模型的预测方法
叶罡,一种混凝土早龄期热膨胀系数多尺度模型的预测方法
李强,一种混凝土早龄期热膨胀系数多尺度模型的预测方法
李蓓,一种混凝土早龄期热膨胀系数多尺度模型的预测方法
孙平平,一种混凝土早龄期热膨胀系数多尺度模型的预测方法
曹秀丽,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
高健,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
杜文学,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
吴倩,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
赵梦雅,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
张优格,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
胡丽晓,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
黄诗如,一种硬化水泥砂浆热膨胀系数的多尺度预测方法
曹秀丽,一种硬化混凝土热膨胀系数的多尺度预测方法
叶罡,一种硬化混凝土热膨胀系数的多尺度预测方法
高健,一种硬化混凝土热膨胀系数的多尺度预测方法
杜文学,一种硬化混凝土热膨胀系数的多尺度预测方法
陈敏志,一种硬化混凝土热膨胀系数的多尺度预测方法
王斌,一种基于径向基点插值法求解渗流自由面的优化算法
李建国,一种基于径向基点插值法求解渗流自由面的优化算法
周傲,一种基于径向基点插值法求解渗流自由面的优化算法
王斌,一种剑桥自钻式旁压仪钻头钻进速度测量装置
周傲,一种剑桥自钻式旁压仪钻头钻进速度测量装置
李建国,一种剑桥自钻式旁压仪钻头钻进速度测量装置
李艳梅,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
吴军军,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
张伯斗,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
胡洪果,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
李文浩,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
赵朗,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
陈永湘,新型疫苗佐剂及其在新冠肺炎疫苗和其他疫苗中的应用
杜雅楠,一种用于集体宿舍的污水分类过滤再利用装置
杨改强,一种用于集体宿舍的污水分类过滤再利用装置
罗煜清,一种用于集体宿舍的污水分类过滤再利用装置
靳浩堂,一种用于集体宿舍的污水分类过滤再利用装置
霍丽娟,土壤饱和导水率测定装置
杨改强,土壤饱和导水率测定装置
王婷,土壤饱和导水率测定装置
李一菲,土壤饱和导水率测定装置
杨改强,一种新型暗盒修复支架
霍丽娟,一种新型暗盒修复支架
王婷,一种新型暗盒修复支架
刘晓娜,一种新型暗盒修复支架
刘日成,岩体裂隙网络渗透系数方向性测试及可视化系统
蔚立元,岩体裂隙网络渗透系数方向性测试及可视化系统
靖洪文,岩体裂隙网络渗透系数方向性测试及可视化系统
李光雷,岩体裂隙网络渗透系数方向性测试及可视化系统
谢凯,岩体裂隙网络渗透系数方向性测试及可视化系统
刘日成,一种用于三维裂隙岩样的水-力耦合加载装置及加载方法
蔚立元,一种用于三维裂隙岩样的水-力耦合加载装置及加载方法
张晶,一种用于三维裂隙岩样的水-力耦合加载装置及加载方法
张站群,一种用于三维裂隙岩样的水-力耦合加载装置及加载方法
刘日成,一种裂隙网络剪切-两相流试验装置及试验方法
蔚立元,一种裂隙网络剪切-两相流试验装置及试验方法
靖洪文,一种裂隙网络剪切-两相流试验装置及试验方法
尹乾,一种裂隙网络剪切-两相流试验装置及试验方法
韩观胜,一种裂隙网络剪切-两相流试验装置及试验方法
李博,一种裂隙网络剪切-两相流试验装置及试验方法
刘日成,岩体裂隙网络渗流各向异性测试及可视化系统
靖洪文,岩体裂隙网络渗流各向异性测试及可视化系统
张晶,岩体裂隙网络渗流各向异性测试及可视化系统
蔚立元,岩体裂隙网络渗流各向异性测试及可视化系统
苏海健,岩体裂隙网络渗流各向异性测试及可视化系统
刘日成,一种用于裂隙网络剪切渗流试验装置及其试验方法
尹乾,一种用于裂隙网络剪切渗流试验装置及其试验方法
靖洪文,一种用于裂隙网络剪切渗流试验装置及其试验方法
蔚立元,一种用于裂隙网络剪切渗流试验装置及其试验方法
韩观胜,一种用于裂隙网络剪切渗流试验装置及其试验方法
蒋宇静,一种用于裂隙网络剪切渗流试验装置及其试验方法
刘日成,一种含天然三维裂隙类岩石试样的制作方法
靖洪文,一种含天然三维裂隙类岩石试样的制作方法
蔚立元,一种含天然三维裂隙类岩石试样的制作方法
何明,一种含天然三维裂隙类岩石试样的制作方法
蔚立元,一种用于冲击试验的实时化学腐蚀装置及方法
张涛,一种用于冲击试验的实时化学腐蚀装置及方法
孟庆彬,一种用于冲击试验的实时化学腐蚀装置及方法
刘日成,一种用于冲击试验的实时化学腐蚀装置及方法
苏海健,一种用于冲击试验的实时化学腐蚀装置及方法
尹乾,一种用于冲击试验的实时化学腐蚀装置及方法
吴疆宇,一种用于冲击试验的实时化学腐蚀装置及方法
闫峰,一种声波地下管道探测装置
宋凡超,一种声波地下管道探测装置
杨振,一种声波地下管道探测装置
李佳豪,一种声波地下管道探测装置
任大睿,一种声波地下管道探测装置
闫峰,一种小便池新型节水装置
宋凡超,一种小便池新型节水装置
吴诗琪,一种小便池新型节水装置
杨雨欣,一种小便池新型节水装置
王昕,一种小便池新型节水装置
周修龙,一种小便池新型节水装置
王进,一种基于四阶矩估计的工业机器人可靠性计算方法
王伟,一种基于四阶矩估计的工业机器人可靠性计算方法
陆国栋,一种基于四阶矩估计的工业机器人可靠性计算方法
翟安邦,基于双机械臂协作打磨系统的动力学模型设计方法
王进,基于双机械臂协作打磨系统的动力学模型设计方法
陆国栋,基于双机械臂协作打磨系统的动力学模型设计方法
戚仁杰,基于双机械臂协作打磨系统的动力学模型设计方法
张海运,基于双机械臂协作打磨系统的动力学模型设计方法
杨鹏程,基于双机械臂协作打磨系统的动力学模型设计方法
王进,一种液体晃动模型参考自适应抑制运动控制方法
杨鹏程,一种液体晃动模型参考自适应抑制运动控制方法
张海运,一种液体晃动模型参考自适应抑制运动控制方法
翟安邦,一种液体晃动模型参考自适应抑制运动控制方法
戚仁杰,一种液体晃动模型参考自适应抑制运动控制方法
陆国栋,一种液体晃动模型参考自适应抑制运动控制方法
王进,一种基于速度重配的协调机械臂多约束加工优化方法
翟安邦,一种基于速度重配的协调机械臂多约束加工优化方法
张海运,一种基于速度重配的协调机械臂多约束加工优化方法
陆国栋,一种基于速度重配的协调机械臂多约束加工优化方法
杨鹏程,一种基于速度重配的协调机械臂多约束加工优化方法
戚仁杰,一种基于速度重配的协调机械臂多约束加工优化方法
泮求亮,一种基于神经网络的6轴机器人动力学参数辨识方法
林旭军,一种基于神经网络的6轴机器人动力学参数辨识方法
王进,一种基于神经网络的6轴机器人动力学参数辨识方法
陆国栋,一种基于神经网络的6轴机器人动力学参数辨识方法
王进,一种角度可调的多自由度抛光机打磨头机构
翟安邦,一种角度可调的多自由度抛光机打磨头机构
李昊天,一种角度可调的多自由度抛光机打磨头机构
陆国栋,一种角度可调的多自由度抛光机打磨头机构
张海运,不确定混沌系统间接自适应模糊最优同步控制器设计方法
王进,不确定混沌系统间接自适应模糊最优同步控制器设计方法
孟德远,不确定混沌系统间接自适应模糊最优同步控制器设计方法
翟安邦,不确定混沌系统间接自适应模糊最优同步控制器设计方法
杨鹏程,不确定混沌系统间接自适应模糊最优同步控制器设计方法
戚仁杰,不确定混沌系统间接自适应模糊最优同步控制器设计方法
陆国栋,不确定混沌系统间接自适应模糊最优同步控制器设计方法
方健,一种基于关节能耗评估的机器人工作单元布局优化方法
王进,一种基于关节能耗评估的机器人工作单元布局优化方法
泮求亮,一种基于关节能耗评估的机器人工作单元布局优化方法
扶建辉,一种基于关节能耗评估的机器人工作单元布局优化方法
陆国栋,一种基于关节能耗评估的机器人工作单元布局优化方法
何雪军,一种岛中含湖型截面的环切刀轨连接方法
王进,一种岛中含湖型截面的环切刀轨连接方法
陆国栋,一种岛中含湖型截面的环切刀轨连接方法
陈立,一种岛中含湖型截面的环切刀轨连接方法
金晶,一种岛中含湖型截面的环切刀轨连接方法
王进,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
翟安邦,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
徐凡,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
张海运,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
扶建辉,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
陆国栋,一种协调机械臂自适应神经网络同步鲁棒控制器设计方法
王进,一种基于空间两点投影的机器人坐标标定方法
王伟,一种基于空间两点投影的机器人坐标标定方法
陆国栋,一种基于空间两点投影的机器人坐标标定方法
吴潮华,一种基于空间两点投影的机器人坐标标定方法
常文娟,一种基于Logistic的抗旱适宜供水量确定方法
梁忠民,一种基于Logistic的抗旱适宜供水量确定方法
胡义明,一种基于Logistic的抗旱适宜供水量确定方法
马海波,一种基于Logistic的抗旱适宜供水量确定方法
朱士江,一种基于Logistic的抗旱适宜供水量确定方法
林青霞,一种基于Logistic的抗旱适宜供水量确定方法
王煜,一种计算自然流域植物截流量的方法
常文娟,一种计算自然流域植物截流量的方法
马海波,一种计算自然流域植物截流量的方法
严登华,一种计算自然流域植物截流量的方法
董鑫,一种计算自然流域植物截流量的方法
房昊天,一种计算自然流域植物截流量的方法
马海波,一种计算自然流域表面坑洼滞蓄量的方法
常文娟,一种计算自然流域表面坑洼滞蓄量的方法
王煜,一种计算自然流域表面坑洼滞蓄量的方法
严登华,一种计算自然流域表面坑洼滞蓄量的方法
董鑫,一种计算自然流域表面坑洼滞蓄量的方法
房昊天,一种计算自然流域表面坑洼滞蓄量的方法
常文娟,一种基于益本比函数的适宜抗旱能力分析方法
马海波,一种基于益本比函数的适宜抗旱能力分析方法
梁忠民,一种基于益本比函数的适宜抗旱能力分析方法
严登华,一种基于益本比函数的适宜抗旱能力分析方法
雷晓辉,一种基于益本比函数的适宜抗旱能力分析方法
王浩,一种基于益本比函数的适宜抗旱能力分析方法
朱士江,一种基于益本比函数的适宜抗旱能力分析方法
孙爱华,一种基于益本比函数的适宜抗旱能力分析方法
郑霞忠,一种基于益本比函数的适宜抗旱能力分析方法
林青霞,一种基于益本比函数的适宜抗旱能力分析方法
董鑫,一种基于益本比函数的适宜抗旱能力分析方法
常文娟,自然流域划分法中确定子流域降雨量时空分布的方法
马海波,自然流域划分法中确定子流域降雨量时空分布的方法
严登华,自然流域划分法中确定子流域降雨量时空分布的方法
肖尚斌,自然流域划分法中确定子流域降雨量时空分布的方法
雷晓辉,自然流域划分法中确定子流域降雨量时空分布的方法
董晓华,自然流域划分法中确定子流域降雨量时空分布的方法
李俊美,自然流域划分法中确定子流域降雨量时空分布的方法
纪道斌,自然流域划分法中确定子流域降雨量时空分布的方法
徐刚,自然流域划分法中确定子流域降雨量时空分布的方法
刘冀,自然流域划分法中确定子流域降雨量时空分布的方法
彭涛,自然流域划分法中确定子流域降雨量时空分布的方法
李英海,自然流域划分法中确定子流域降雨量时空分布的方法
董鑫,自然流域划分法中确定子流域降雨量时空分布的方法
于永森,一种碳纤维管封装的光纤光栅压力传感器
薛兆康,一种碳纤维管封装的光纤光栅压力传感器
国旗,一种碳纤维管封装的光纤光栅压力传感器
孙洪波,一种碳纤维管封装的光纤光栅压力传感器
郑永秋,微纳结构的耐高温法布里-珀罗腔传感结构及系统
田振男,微纳结构的耐高温法布里-珀罗腔传感结构及系统
薛晨阳,微纳结构的耐高温法布里-珀罗腔传感结构及系统
于永森,微纳结构的耐高温法布里-珀罗腔传感结构及系统
孙鹏,微纳结构的耐高温法布里-珀罗腔传感结构及系统
国旗,微纳结构的耐高温法布里-珀罗腔传感结构及系统
陈坤,微纳结构的耐高温法布里-珀罗腔传感结构及系统
陈晨,微纳结构的耐高温法布里-珀罗腔传感结构及系统
武丽云,微纳结构的耐高温法布里-珀罗腔传感结构及系统
陈佳敏,微纳结构的耐高温法布里-珀罗腔传感结构及系统
韩源,微纳结构的耐高温法布里-珀罗腔传感结构及系统
孙洪波,一种螺旋形蓝宝石光纤布拉格光栅、制备方法及其应用
国旗,一种螺旋形蓝宝石光纤布拉格光栅、制备方法及其应用
于永森,一种螺旋形蓝宝石光纤布拉格光栅、制备方法及其应用
孙洪波,一种利用飞秒激光直写技术制备啁啾光纤光栅的方法
潘学鹏,一种利用飞秒激光直写技术制备啁啾光纤光栅的方法
于永森,一种利用飞秒激光直写技术制备啁啾光纤光栅的方法
国旗,一种利用飞秒激光直写技术制备啁啾光纤光栅的方法
于永森,一种S形光纤锥免疫传感器、制备方法及其应用
郭万美,一种S形光纤锥免疫传感器、制备方法及其应用
国旗,一种S形光纤锥免疫传感器、制备方法及其应用
王博,一种S形光纤锥免疫传感器、制备方法及其应用
金光勇,一种S形光纤锥免疫传感器、制备方法及其应用
王剑,确定地下滴灌管上式滴头流量及土壤水正压的测定装置
杨婷,确定地下滴灌管上式滴头流量及土壤水正压的测定装置
魏涛,确定地下滴灌管上式滴头流量及土壤水正压的测定装置
陈瑞,确定地下滴灌管上式滴头流量及土壤水正压的测定装置
张发坤,确定地下滴灌管上式滴头流量及土壤水正压的测定装置
陈传明,基于三维网格划分的隐私保护轨迹数据发布方法
俞庆英,基于三维网格划分的隐私保护轨迹数据发布方法
胡桂银,基于三维网格划分的隐私保护轨迹数据发布方法
陈付龙,基于三维网格划分的隐私保护轨迹数据发布方法
罗永龙,基于三维网格划分的隐私保护轨迹数据发布方法
孙丽萍,网络中重叠社团的挖掘方法
罗永龙,网络中重叠社团的挖掘方法
刘君,网络中重叠社团的挖掘方法
鲍舒婷,网络中重叠社团的挖掘方法
郑孝遥,网络中重叠社团的挖掘方法
陈付龙,网络中重叠社团的挖掘方法
王涛春,一种基于红外传感器的吊扇
胡桂银,一种基于红外传感器的吊扇
接标,一种基于红外传感器的吊扇
左开中,一种基于红外传感器的吊扇
陈付龙,一种基于红外传感器的吊扇
刘盈,一种基于红外传感器的吊扇
罗永龙,一种基于红外传感器的吊扇
郭良敏,基于信任激励和位置隐私保护的k近邻查询方法
朱莹,基于信任激励和位置隐私保护的k近邻查询方法
罗永龙,基于信任激励和位置隐私保护的k近邻查询方法
郑孝遥,基于信任激励和位置隐私保护的k近邻查询方法
孙丽萍,基于信任激励和位置隐私保护的k近邻查询方法
汪小寒,特征化密度峰聚类的出租车热点区域提取方法
罗永龙,特征化密度峰聚类的出租车热点区域提取方法
张泽培,特征化密度峰聚类的出租车热点区域提取方法
何增宇,特征化密度峰聚类的出租车热点区域提取方法
胡王悟,特征化密度峰聚类的出租车热点区域提取方法
鲍舒婷,一种隐私保护的共享近邻密度峰聚类方法
孙丽萍,一种隐私保护的共享近邻密度峰聚类方法
慈尚,一种隐私保护的共享近邻密度峰聚类方法
郑孝遥,一种隐私保护的共享近邻密度峰聚类方法
罗永龙,一种隐私保护的共享近邻密度峰聚类方法
郑孝遥,基于超图结构的社交网络推荐模型构建方法
孙丽萍,基于超图结构的社交网络推荐模型构建方法
陈付龙,基于超图结构的社交网络推荐模型构建方法
陈文,基于超图结构的社交网络推荐模型构建方法
罗永龙,基于超图结构的社交网络推荐模型构建方法
卞维新,一种结合方向扩散的指纹方向场提取方法
徐德琴,一种结合方向扩散的指纹方向场提取方法
接标,一种结合方向扩散的指纹方向场提取方法
丁新涛,一种结合方向扩散的指纹方向场提取方法
陈付龙,一种结合方向扩散的指纹方向场提取方法
罗永龙,一种结合方向扩散的指纹方向场提取方法
俞庆英,一种隐私保护空间离群点检测方法
罗永龙,一种隐私保护空间离群点检测方法
陈传明,一种隐私保护空间离群点检测方法
陈付龙,一种隐私保护空间离群点检测方法
卞维新,一种隐私保护空间离群点检测方法
孙丽萍,一种隐私保护空间离群点检测方法
郑孝遥,一种隐私保护空间离群点检测方法
汪小寒,Geohash压缩的地图匹配方法
范婷婷,Geohash压缩的地图匹配方法
罗永龙,Geohash压缩的地图匹配方法
何增宇,Geohash压缩的地图匹配方法
胡王悟,Geohash压缩的地图匹配方法
曹妍,Geohash压缩的地图匹配方法
鲁婷婷,Geohash压缩的地图匹配方法
郭良敏,基于情感与信任的协同过滤推荐方法
梁家坤,基于情感与信任的协同过滤推荐方法
董燕,基于情感与信任的协同过滤推荐方法
孙丽萍,基于情感与信任的协同过滤推荐方法
朱莹,基于情感与信任的协同过滤推荐方法
罗永龙,基于情感与信任的协同过滤推荐方法
郑孝遥,基于情感与信任的协同过滤推荐方法
接标,一种面向脑网络的结构化特征选择方法
王咪,一种面向脑网络的结构化特征选择方法
卞维新,一种面向脑网络的结构化特征选择方法
丁新涛,一种面向脑网络的结构化特征选择方法
左开中,一种面向脑网络的结构化特征选择方法
方群,一种面向脑网络的结构化特征选择方法
罗永龙,一种面向脑网络的结构化特征选择方法
郑孝遥,基于群智感知的多目标多约束路线推荐方法
朱德义,基于群智感知的多目标多约束路线推荐方法
韩宝婷,基于群智感知的多目标多约束路线推荐方法
孙丽萍,基于群智感知的多目标多约束路线推荐方法
郭良敏,基于群智感知的多目标多约束路线推荐方法
罗永龙,基于群智感知的多目标多约束路线推荐方法
汪小寒,基于插值点的匿名隐私保护方法
张泽培,基于插值点的匿名隐私保护方法
何增宇,基于插值点的匿名隐私保护方法
王涛春,基于插值点的匿名隐私保护方法
孙丽萍,基于插值点的匿名隐私保护方法
郑孝遥,基于插值点的匿名隐私保护方法
罗永龙,基于插值点的匿名隐私保护方法
左开中,连续查询语义位置隐私保护方法及系统、连续查询系统
王永录,连续查询语义位置隐私保护方法及系统、连续查询系统
刘蕊,连续查询语义位置隐私保护方法及系统、连续查询系统
丁新涛,连续查询语义位置隐私保护方法及系统、连续查询系统
罗永龙,连续查询语义位置隐私保护方法及系统、连续查询系统
王涛春,一种群智感知中基于k-匿名的位置及数据隐私保护方法
刘盈,一种群智感知中基于k-匿名的位置及数据隐私保护方法
金鑫,一种群智感知中基于k-匿名的位置及数据隐私保护方法
陈付龙,一种群智感知中基于k-匿名的位置及数据隐私保护方法
赵传信,一种群智感知中基于k-匿名的位置及数据隐私保护方法
罗永龙,一种群智感知中基于k-匿名的位置及数据隐私保护方法
罗永龙,一种基于Geohash的网格化位置隐私保护方法及装置
邢凯,一种基于Geohash的网格化位置隐私保护方法及装置
宁雪莉,一种基于Geohash的网格化位置隐私保护方法及装置
邓劲松,一种基于Geohash的网格化位置隐私保护方法及装置
郑孝遥,一种基于Geohash的网格化位置隐私保护方法及装置
孙丽萍,一种基于Geohash的网格化位置隐私保护方法及装置
左开中,一种路网环境下基于隐私偏好的语义位置隐私保护方法
王永录,一种路网环境下基于隐私偏好的语义位置隐私保护方法
刘蕊,一种路网环境下基于隐私偏好的语义位置隐私保护方法
罗永龙,一种路网环境下基于隐私偏好的语义位置隐私保护方法
俞庆英,基于公共分片子序列的轨迹离群点检测方法
罗永龙,基于公共分片子序列的轨迹离群点检测方法
陈传明,基于公共分片子序列的轨迹离群点检测方法
陈付龙,基于公共分片子序列的轨迹离群点检测方法
汪小寒,基于公共分片子序列的轨迹离群点检测方法
胡桂银,基于公共分片子序列的轨迹离群点检测方法
接标,面向功能性脑网络的多阈值下基于多任务的特征选择方法
王正东,面向功能性脑网络的多阈值下基于多任务的特征选择方法
王咪,面向功能性脑网络的多阈值下基于多任务的特征选择方法
卞维新,面向功能性脑网络的多阈值下基于多任务的特征选择方法
丁新涛,面向功能性脑网络的多阈值下基于多任务的特征选择方法
左开中,面向功能性脑网络的多阈值下基于多任务的特征选择方法
陈付龙,面向功能性脑网络的多阈值下基于多任务的特征选择方法
罗永龙,面向功能性脑网络的多阈值下基于多任务的特征选择方法
胡桂银,基于U盾的Web数据存储和数据传输方法
俞庆英,基于U盾的Web数据存储和数据传输方法
郭良敏,基于U盾的Web数据存储和数据传输方法
郑孝遥,基于U盾的Web数据存储和数据传输方法
罗永龙,基于U盾的Web数据存储和数据传输方法
陈付龙,基于U盾的Web数据存储和数据传输方法
郑孝遥,一种基于用户情感和时间动态的旅游目的地推荐方法
徐致云,一种基于用户情感和时间动态的旅游目的地推荐方法
胡朝焱,一种基于用户情感和时间动态的旅游目的地推荐方法
汪祥舜,一种基于用户情感和时间动态的旅游目的地推荐方法
孙丽萍,一种基于用户情感和时间动态的旅游目的地推荐方法
胡桂银,一种基于用户情感和时间动态的旅游目的地推荐方法
罗永龙,一种基于用户情感和时间动态的旅游目的地推荐方法
王涛春,一种隐私保护的两层传感器网络范围查询系统及方法
罗永龙,一种隐私保护的两层传感器网络范围查询系统及方法
郭良敏,一种隐私保护的两层传感器网络范围查询系统及方法
左开中,一种隐私保护的两层传感器网络范围查询系统及方法
陈付龙,一种隐私保护的两层传感器网络范围查询系统及方法
卞维新,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
徐德琴,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
接标,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
丁玉祥,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
方群,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
罗永龙,基于分类耦合字典稀疏表示的指纹图像超分辨率方法
陈付龙,基于网络层的安全传输方法
孙回,基于网络层的安全传输方法
罗永龙,基于网络层的安全传输方法
黄琤,基于网络层的安全传输方法
程徐,基于网络层的安全传输方法
孙丽萍,基于网络层的安全传输方法
郑孝遥,基于网络层的安全传输方法
张吉,基于网络层的安全传输方法
胡桂银,基于网络层的安全传输方法
郑孝遥,基于位置服务的分布式差分隐私推荐方法
汪祥舜,基于位置服务的分布式差分隐私推荐方法
朱德义,基于位置服务的分布式差分隐私推荐方法
孙丽萍,基于位置服务的分布式差分隐私推荐方法
俞庆英,基于位置服务的分布式差分隐私推荐方法
汪小寒,基于位置服务的分布式差分隐私推荐方法
罗永龙,基于位置服务的分布式差分隐私推荐方法
郑孝遥,基于群智感知的旅游路线个性化推荐方法
尤浩,基于群智感知的旅游路线个性化推荐方法
徐致云,基于群智感知的旅游路线个性化推荐方法
罗永龙,基于群智感知的旅游路线个性化推荐方法
汪祥舜,基于群智感知的旅游路线个性化推荐方法
胡朝焱,基于群智感知的旅游路线个性化推荐方法
孙丽萍,基于群智感知的旅游路线个性化推荐方法
胡桂银,基于群智感知的旅游路线个性化推荐方法
郭良敏,基于群智感知的旅游路线个性化推荐方法
丁新涛,一种基于格点排列的十字绣模板识别方法
胡桂银,一种基于格点排列的十字绣模板识别方法
罗永龙,一种基于格点排列的十字绣模板识别方法
郭良敏,一种基于格点排列的十字绣模板识别方法
接标,一种基于格点排列的十字绣模板识别方法
郑孝遥,一种基于格点排列的十字绣模板识别方法
徐平安,基于匿名的网络最短路径隐私保护方法
孙丽萍,基于匿名的网络最短路径隐私保护方法
刘孝庆,基于匿名的网络最短路径隐私保护方法
腾莉,基于匿名的网络最短路径隐私保护方法
罗永龙,基于匿名的网络最短路径隐私保护方法
郑孝遥,基于移动通信的信任推荐模型的构建方法及其构建系统
鲍煜,基于移动通信的信任推荐模型的构建方法及其构建系统
罗永龙,基于移动通信的信任推荐模型的构建方法及其构建系统
丁新涛,基于移动通信的信任推荐模型的构建方法及其构建系统
孙丽萍,基于移动通信的信任推荐模型的构建方法及其构建系统
胡桂银,基于移动通信的信任推荐模型的构建方法及其构建系统
俞庆英,基于移动通信的信任推荐模型的构建方法及其构建系统
孙丽萍,一种基于局部密度和聚类中心优化的密度峰聚类方法
